description,name,price,offer_price,meassure,pum,size,brand,meassure_description,market
Leche semidesnatada Carrefour brik 1l.,Leche UHT semidesnatada,0.56,0.58,l,0.58, ,CARREFOUR,,carrefour
Leche entera Carrefour brik 1l.,Leche UHT entera,0.56,0.58,l,0.58, ,CARREFOUR,,carrefour
Leche semidesnatada Central Lechera Asturiana brik 1 l.,Leche UHT SEMIDESNATADA,0.76,0.79,l,0.79,m,CENTRAL LECHERA ASTURIANA,,carrefour
Leche entera Central Lechera Asturiana brik 1 l.,Leche UHT entera,0.76,0.79,l,0.79,m,CENTRAL LECHERA ASTURIANA,,carrefour
Leche semidesnatada Carrefour sin lactosa brik 1 l.,"Lech UHT semidesnatada sin lactosa, enriquecida con vitamina A D E y ácido fólico.",,,l,0.75,m,CARREFOUR,,carrefour
Leche entera Pascual brik 1 l.,Leche entera UHT,,,l,0.8,m,PASCUAL,,carrefour
Leche desnatada Carrefour sin lactosa brik 1 l.,"Lech UHT desnatada sin lactosa, enriquecida con vitamina A D E y ácido fólico.",,,l,0.75,m,CARREFOUR,,carrefour
Leche semidesnatada Central Lechera Asturiana sin lactosa brik 1 l.,Leche UHT semidesnatada sin lactosa,,,l,0.93,m,CENTRAL LECHERA ASTURIANA,,carrefour
Leche semidesnatada Carrefour brik 1l.,Leche UHT semidesnatada,0.56,0.58,l,0.58, ,CARREFOUR,,carrefour
Leche entera Carrefour brik 1l.,Leche UHT entera,0.56,0.58,l,0.58, ,CARREFOUR,,carrefour
Leche semidesnatada Central Lechera Asturiana brik 1 l.,Leche UHT SEMIDESNATADA,0.76,0.79,l,0.79,m,CENTRAL LECHERA ASTURIANA,,carrefour
Leche entera Central Lechera Asturiana brik 1 l.,Leche UHT entera,0.76,0.79,l,0.79,m,CENTRAL LECHERA ASTURIANA,,carrefour
Leche semidesnatada Carrefour sin lactosa brik 1 l.,"Lech UHT semidesnatada sin lactosa, enriquecida con vitamina A D E y ácido fólico.",,,l,0.75,m,CARREFOUR,,carrefour
Leche entera Pascual brik 1 l.,Leche entera UHT,,,l,0.8,m,PASCUAL,,carrefour
Leche desnatada Carrefour sin lactosa brik 1 l.,"Lech UHT desnatada sin lactosa, enriquecida con vitamina A D E y ácido fólico.",,,l,0.75,m,CARREFOUR,,carrefour
Leche semidesnatada Central Lechera Asturiana sin lactosa brik 1 l.,Leche UHT semidesnatada sin lactosa,,,l,0.93,m,CENTRAL LECHERA ASTURIANA,,carrefour
Leche entera Carrefour sin lactosa brik 1 l.,"Leche entera sin lactosa enriquecida con vitamina A, E, B9 (ácido fólico) y D. UHT",,,l,0.75,m,CARREFOUR,,carrefour
Preparado lácteo Omega 3 Puleva sin gluten brik 1 l.,,,,,1.25,,,,carrefour
"Leche entera fresca Carrefour botella 1,5 l.",Leche Entera,,,l,0.77,m,CARREFOUR,,carrefour
Leche desnatada Pascual sin lactosa brik 1 l.,,,,,0.99,,,,carrefour
"Leche desnatada Central Lechera Asturiana botella 1,5 l.",Leche UHT desnatada,,,l,0.83,m,CENTRAL LECHERA ASTURIANA,,carrefour
Leche semidesnatada Puleva sin lactosa botella 1 l.,"Leche semidesnatada sin lactosa enriquecida con vitamina A, E, B9 (ácido fólico) y D. UHT",0.89,0.99,l,0.99,m,PULEVA,,carrefour
Leche semidesnatada brik 1 l.,,,,,0.55,,,,carrefour
Leche desnatada con calcio Pascual brik 1 l.,,,,,1.2,,,,carrefour
Leche entera Carrefour sin lactosa brik 1 l.,"Leche entera sin lactosa enriquecida con vitamina A, E, B9 (ácido fólico) y D. UHT",,,l,0.75,m,CARREFOUR,,carrefour
Preparado lácteo Omega 3 Puleva sin gluten brik 1 l.,,,,,1.25,,,,carrefour
"Leche entera fresca Carrefour botella 1,5 l.",Leche Entera,,,l,0.77,m,CARREFOUR,,carrefour
Leche desnatada Pascual sin lactosa brik 1 l.,,,,,0.99,,,,carrefour
"Leche desnatada Central Lechera Asturiana botella 1,5 l.",Leche UHT desnatada,,,l,0.83,m,CENTRAL LECHERA ASTURIANA,,carrefour
Leche semidesnatada Puleva sin lactosa botella 1 l.,"Leche semidesnatada sin lactosa enriquecida con vitamina A, E, B9 (ácido fólico) y D. UHT",0.89,0.99,l,0.99,m,PULEVA,,carrefour
Leche semidesnatada brik 1 l.,,,,,0.55,,,,carrefour
Leche desnatada con calcio Pascual brik 1 l.,,,,,1.2,,,,carrefour
Leche desnatada 0% MG Central Lechera Asturiana brik 1 l.,,0.76,0.79,,0.79,,,,carrefour
"Leche entera Celta brik 1,5 l.",Leche Entera UHT,,,l,0.78,m,CELTA,,carrefour
Leche semidesnatada Lauki brik 1 l.,,,,,0.79,,,,carrefour
Bebida láctea Omega 3 Carrefour brik 1 l.,"Bebida láctea UHT a base de leche desnatada enriquecida en ácidos grasos omega 3 (EPA+DHA) y vitaminas A, D, E, B6, ácido fólico y B12.",,,l,0.87,m,CARREFOUR,,carrefour
Leche desnatada Kaiku sin lactosa brik 1 l.,"Leche desnatada UHT sin lactosa enriquecida en vitaminas A, D, E y ácido fólico",,,l,0.99,m,KAIKU,,carrefour
Leche semidesnatada ecológica Puleva brik 1 l.,Leche UHT Semidesnatada de Agricultura Ecológica.,0.99,1.29,l,1.29,m,PULEVA,,carrefour
"Leche entera Carrefour botella 1,5 l.",Leche UHT entera enriquecida con vitamina D.,,,l,0.7,m,CARREFOUR,,carrefour
Leche entera ecológica Puleva brik 1 l.,Leche UHT Entera de Agricultura Ecológica.,0.99,1.29,l,1.29,m,PULEVA,,carrefour
Leche desnatada 0% MG Central Lechera Asturiana brik 1 l.,,0.76,0.79,,0.79,,,,carrefour
"Leche entera Celta brik 1,5 l.",Leche Entera UHT,,,l,0.78,m,CELTA,,carrefour
Leche semidesnatada Lauki brik 1 l.,,,,,0.79,,,,carrefour
Bebida láctea Omega 3 Carrefour brik 1 l.,"Bebida láctea UHT a base de leche desnatada enriquecida en ácidos grasos omega 3 (EPA+DHA) y vitaminas A, D, E, B6, ácido fólico y B12.",,,l,0.87,m,CARREFOUR,,carrefour
Leche desnatada Kaiku sin lactosa brik 1 l.,"Leche desnatada UHT sin lactosa enriquecida en vitaminas A, D, E y ácido fólico",,,l,0.99,m,KAIKU,,carrefour
Leche semidesnatada ecológica Puleva brik 1 l.,Leche UHT Semidesnatada de Agricultura Ecológica.,0.99,1.29,l,1.29,m,PULEVA,,carrefour
"Leche entera Carrefour botella 1,5 l.",Leche UHT entera enriquecida con vitamina D.,,,l,0.7,m,CARREFOUR,,carrefour
Leche entera ecológica Puleva brik 1 l.,Leche UHT Entera de Agricultura Ecológica.,0.99,1.29,l,1.29,m,PULEVA,,carrefour
"Leche semidesnatada fresca ecológica Carrefour Bio botella 1,5 l.",,,,,1.19,,,,carrefour
Leche semidesnatada Bienatur Clesa brik 1 l.,,0.64,0.75,,0.75,,,,carrefour
Leche semidesnatada ecológica Carrefour Bio sin lactosa brik 1 l.,,,,,1.18,,,,carrefour
Leche de cabra semidesnatada Puleva botella 1 l.,,,,,1.55,,,,carrefour
Bebida láctea semi Flora Folic B brik 1 l.,,,,,1.1,,,,carrefour
Leche desnatada con calcio Central Lechera Asturiana brik 1 l.,,,,,0.94,,,,carrefour
Leche entera Kaiku sin lactosa brik 1 l.,"Leche entera UHT sin lactosa enriquecida en vitaminas A, D, E y ácido fólico",,,l,0.99,m,KAIKU,,carrefour
Leche semidesnatada Únicla sin lactosa brik 1 l.,Leche UHT Semidesnatada Sin Lactosa,,,l,1.15,m,UNICLA,,carrefour
"Leche semidesnatada fresca ecológica Carrefour Bio botella 1,5 l.",,,,,1.19,,,,carrefour
Leche semidesnatada Bienatur Clesa brik 1 l.,,0.64,0.75,,0.75,,,,carrefour
Leche semidesnatada ecológica Carrefour Bio sin lactosa brik 1 l.,,,,,1.18,,,,carrefour
Leche de cabra semidesnatada Puleva botella 1 l.,,,,,1.55,,,,carrefour
Bebida láctea semi Flora Folic B brik 1 l.,,,,,1.1,,,,carrefour
Leche desnatada con calcio Central Lechera Asturiana brik 1 l.,,,,,0.94,,,,carrefour
Leche entera Kaiku sin lactosa brik 1 l.,"Leche entera UHT sin lactosa enriquecida en vitaminas A, D, E y ácido fólico",,,l,0.99,m,KAIKU,,carrefour
Leche semidesnatada Únicla sin lactosa brik 1 l.,Leche UHT Semidesnatada Sin Lactosa,,,l,1.15,m,UNICLA,,carrefour
Leche semidesnatada UHT Quién es el jefe brik 1 l.,Leche semidesnatada UHT,,,l,0.83,m,QUIEN ES EL JEFE,,carrefour
Leche semidesnatada Celta sin lactosa brik 1 l.,Leche Semidesnatada UHT Sin Lactosa,,,l,0.99,m,CELTA,,carrefour
Leche entera ecológica Buen Pastor brik 1 l.,Leche uht entera ecológica,,,l,1.49,m,EL BUEN PASTOR,,carrefour
Leche semidesnatada ecológica Puleva sin lactosa brik 1 l.,,,,,1.45,,,,carrefour
Leche semidesnatada ecológica Celta Bio 1 l.,,,,,1.15,,,,carrefour
"Leche entera Président botella 1,5 l.",Leche entera. UHT,,,l,0.73,m,PRESIDENT,,carrefour
Leche desnatada proteínas Bienatur Clesa sin lactosa brik 1 l.,,,,,1.25,,,,carrefour
"Leche semidesnatada fresca Puleva sin lactosa botella 1,5 l.",,,,,1.22,,,,carrefour
Leche semidesnatada UHT Quién es el jefe brik 1 l.,Leche semidesnatada UHT,,,l,0.83,m,QUIEN ES EL JEFE,,carrefour
