description,name,price,offer_price,meassure,pum,size,brand,meassure_description,market
CELTA leche entera envase 1.5 lt,Leche Entera UHT,1.17,,lt,78.0,1.5,CELTA,envase 1.5 lt,dia
LAUKI leche desnatada envase 1 lt,Leche Desnatada UHT con Vitamina D,0.79,,lt,79.0,1.0,LAUKI,envase 1 lt,dia
DIA VITAL bebida de soja envase 1 lt,,0.95,,lt,95.0,1.0,DIAVITAL,envase 1 lt,dia
ASTURIANA leche semidesnatada botella 1.5 lt,Leche UHT SEMIDESNATADA,1.26,,lt,84.0,1.5,ASTURIANA,botella 1.5 lt,dia
DIA leche condensada bote 1 Kg,,1.99,,Kg,199.0,1.0,DIAK,bote 1 Kg,dia
DIA leche semidesnatada envase 1 lt,,0.58,,lt,58.0,1.0,DIA,envase 1 lt,dia
DIA leche desnatada envase 1 lt,,0.57,,lt,57.0,1.0,DIA,envase 1 lt,dia
DIA leche entera envase 1 lt,,0.59,,lt,59.0,1.0,DIA,envase 1 lt,dia
PULEVA leche semidesnatada calcio envase 1 lt,"Leche semidesnatada enriquecida en proteinas, calcio y vitaminas A, D y K. UHT",1.19,,lt,119.0,1.0,PULEVA,envase 1 lt,dia
PULEVA leche desnatada calcio envase 1 lt,"Leche desnatada enriquecida en proteinas, calcio y vitaminas A, D y K. UHT",1.19,,lt,119.0,1.0,PULEVA,envase 1 lt,dia
ASTURIANA leche semidesnatada envase 1 lt,Leche UHT SEMIDESNATADA,0.79,,lt,79.0,1.0,ASTURIANA,envase 1 lt,dia
LAUKI leche entera envase 1 lt,Leche Entera UHT,0.79,,lt,79.0,1.0,LAUKI,envase 1 lt,dia
ASTURIANA leche entera envase 1 lt,Leche UHT entera,0.79,,lt,79.0,1.0,ASTURIANA,envase 1 lt,dia
ASTURIANA leche desnatada envase 1 lt,Leche UHT desnatada,0.79,,lt,79.0,1.0,ASTURIANA,envase 1 lt,dia
RAM chocolate a la taza envase 1 lt,Producto lácteo con chocolate. UHT,1.85,,lt,185.0,1.0,RAM,envase 1 lt,dia
PULEVA leche entera calcio slim envase 1 lt,"Leche entera enriquecida en proteinas, calcio y vitaminas A, D y K. UHT",1.19,,lt,119.0,1.0,PULEVA,envase 1 lt,dia
ASTURIANA leche con fibra envase 1 lt,Bebida láctea UHT con FIBRA,1.25,,lt,125.0,1.0,ASTURIANA,envase 1 lt,dia
PULEVA leche omega3 envase 1 lt,"Bebida láctea con Omega 3 y vitaminas A, B6, B9 (ácido fólico), C, D y E. UHT.",1.45,,lt,145.0,1.0,PULEVA,envase 1 lt,dia
CELTA leche semidesnatada envase 1.5 lt,Leche Semidesnatada UHT,1.19,,lt,79.0,1.5,CELTA,envase 1.5 lt,dia
LAUKI leche semidesnatada envase 1 lt,Leche Semidesnatada UHT con Vitamina D,0.79,,lt,79.0,1.0,LAUKI,envase 1 lt,dia
DIA leche semidesnatada calcio envase 1 lt,,0.71,,lt,71.0,1.0,DIA,envase 1 lt,dia
DIA leche entera calcio envase 1 lt,,0.72,,lt,72.0,1.0,DIA,envase 1 lt,dia
DIA leche desnatada calcio envase 1 lt,,0.7,,lt,70.0,1.0,DIA,envase 1 lt,dia
DIA bebida láctea omega 3 envase 1 lt,,0.88,,lt,88.0,1.0,DIA,envase 1 lt,dia
ALPRO bebida soja envase 1 lt,"Bebida de soja UHT enriquecida con calcio y vitaminas (B2,B12 y D)",1.49,,lt,149.0,1.0,ALPRO,envase 1 lt,dia
FLORA Folic B leche semidesnatada envase 1 lt,"Bebida UHT de leche desnatada con aceites vegetales (1.6%) enriquecida con vitaminas A, D, E, B1, B6, B12 y ácido fólico",1.54,,lt,154.0,1.0,FLORAFB,envase 1 lt,dia
PULEVA Max energía y crecimiento envase 1 lt,Bebida láctea infantil con omega 3.UHT,1.35,,lt,135.0,1.0,PULEVAM,envase 1 lt,dia
PASCUAL leche entera envase 1 lt,Leche entera UHT,0.89,,lt,89.0,1.0,PASCUAL,envase 1 lt,dia
PASCUAL leche semidesnatada envase 1 lt,Leche semidesnatada UHT,0.89,,lt,89.0,1.0,PASCUAL,envase 1 lt,dia
PASCUAL leche desnatada envase 1 lt,Leche desnatada UHT,0.89,,lt,89.0,1.0,PASCUAL,envase 1 lt,dia
VIVESOY bebida de soja envase 1 lt,Bebida de soja con calcio y vitaminas A y D.,1.49,,lt,149.0,1.0,VIVESOY,envase 1 lt,dia
