description,name,price,offer_price,meassure,pum,size,brand,meassure_description,market,timestamp,identifier
Leche semidesnatada Carrefour brik 1l.,Leche UHT semidesnatada,0.56,0.58,l,0.58,,CARREFOUR,,carrefour,1618235804.9275024,R-521007071
Leche entera Carrefour brik 1l.,Leche UHT entera,0.56,0.58,l,0.58,,CARREFOUR,,carrefour,1618235812.1105704,R-521006992
Leche semidesnatada Central Lechera Asturiana brik 1 l.,Leche UHT SEMIDESNATADA,0.76,0.79,l,0.79,,CENTRAL LECHERA ASTURIANA,,carrefour,1618235819.3329542,R-521007075
Leche entera Central Lechera Asturiana brik 1 l.,Leche UHT entera,0.76,0.79,l,0.79,,CENTRAL LECHERA ASTURIANA,,carrefour,1618235826.4175413,R-521006994
Leche semidesnatada Carrefour sin lactosa brik 1 l.,"Lech UHT semidesnatada sin lactosa, enriquecida con vitamina A D E y ácido fólico.",0.75,None,l,0.75,,CARREFOUR,,carrefour,1618235833.5271351,R-714713105
Leche entera Pascual brik 1 l.,Leche entera UHT,0.8,None,l,0.8,,PASCUAL,,carrefour,1618235840.634083,R-521006986
Leche desnatada Carrefour sin lactosa brik 1 l.,"Lech UHT desnatada sin lactosa, enriquecida con vitamina A D E y ácido fólico.",0.75,None,l,0.75,,CARREFOUR,,carrefour,1618235847.7570148,R-714713109
Leche semidesnatada Central Lechera Asturiana sin lactosa brik 1 l.,Leche UHT semidesnatada sin lactosa,0.93,None,l,0.93,,CENTRAL LECHERA ASTURIANA,,carrefour,1618235854.776314,R-670001999
Leche semidesnatada Carrefour brik 1l.,Leche UHT semidesnatada,0.56,0.58,l,0.58,,CARREFOUR,,carrefour,1618235861.8349977,R-521007071
Leche entera Carrefour brik 1l.,Leche UHT entera,0.56,0.58,l,0.58,,CARREFOUR,,carrefour,1618235868.8384283,R-521006992
Leche semidesnatada Central Lechera Asturiana brik 1 l.,Leche UHT SEMIDESNATADA,0.76,0.79,l,0.79,,CENTRAL LECHERA ASTURIANA,,carrefour,1618235875.8037379,R-521007075
Leche entera Central Lechera Asturiana brik 1 l.,Leche UHT entera,0.76,0.79,l,0.79,,CENTRAL LECHERA ASTURIANA,,carrefour,1618235882.856211,R-521006994
Leche semidesnatada Carrefour sin lactosa brik 1 l.,"Lech UHT semidesnatada sin lactosa, enriquecida con vitamina A D E y ácido fólico.",0.75,None,l,0.75,,CARREFOUR,,carrefour,1618235889.9319599,R-714713105
Leche entera Pascual brik 1 l.,Leche entera UHT,0.8,None,l,0.8,,PASCUAL,,carrefour,1618235897.0352361,R-521006986
Leche desnatada Carrefour sin lactosa brik 1 l.,"Lech UHT desnatada sin lactosa, enriquecida con vitamina A D E y ácido fólico.",0.75,None,l,0.75,,CARREFOUR,,carrefour,1618235904.1392686,R-714713109
Leche semidesnatada Central Lechera Asturiana sin lactosa brik 1 l.,Leche UHT semidesnatada sin lactosa,0.93,None,l,0.93,,CENTRAL LECHERA ASTURIANA,,carrefour,1618235911.144639,R-670001999
Leche entera Carrefour sin lactosa brik 1 l.,"Leche entera sin lactosa enriquecida con vitamina A, E, B9 (ácido fólico) y D. UHT",0.75,None,l,0.75,,CARREFOUR,,carrefour,1618235918.0938456,R-847400344
Leche entera Carrefour pack de 6 briks de 200 ml.,,1.29,None,,1.08,,,,carrefour,1618235925.3901525,
Leche desnatada Pascual sin lactosa brik 1 l.,,0.99,None,,0.99,,,,carrefour,1618235932.1590815,R-530362992
Leche semidesnatada Puleva sin lactosa botella 1 l.,"Leche semidesnatada sin lactosa enriquecida con vitamina A, E, B9 (ácido fólico) y D. UHT",0.89,0.99,l,0.99,1,PULEVA,,carrefour,1618235939.2374754,R-521007020
Leche semidesnatada Carrefour pack de 6 briks de 200 ml.,,1.29,None,,1.08,,,,carrefour,1618235946.3042035,
"Leche desnatada Central Lechera Asturiana botella 1,5 l.",Leche UHT desnatada,1.25,None,l,0.83,,CENTRAL LECHERA ASTURIANA,,carrefour,1618235953.437936,R-521007087
Leche desnatada con calcio Pascual brik 1 l.,,1.2,None,,1.2,,,,carrefour,1618235960.1445746,R-521007008
Leche semidesnatada brik 1 l.,,0.55,None,,0.55,,,,carrefour,1618235966.8957639,R-531731274
Leche entera Carrefour sin lactosa brik 1 l.,"Leche entera sin lactosa enriquecida con vitamina A, E, B9 (ácido fólico) y D. UHT",0.75,None,l,0.75,,CARREFOUR,,carrefour,1618235973.9164257,R-847400344
Leche entera Carrefour pack de 6 briks de 200 ml.,,1.29,None,,1.08,,,,carrefour,1618235980.9511034,
Leche desnatada Pascual sin lactosa brik 1 l.,,0.99,None,,0.99,,,,carrefour,1618235987.8041694,R-530362992
Leche semidesnatada Puleva sin lactosa botella 1 l.,"Leche semidesnatada sin lactosa enriquecida con vitamina A, E, B9 (ácido fólico) y D. UHT",0.89,0.99,l,0.99,1,PULEVA,,carrefour,1618235995.0207412,R-521007020
Leche semidesnatada Carrefour pack de 6 briks de 200 ml.,,1.29,None,,1.08,,,,carrefour,1618236002.3374536,
"Leche desnatada Central Lechera Asturiana botella 1,5 l.",Leche UHT desnatada,1.25,None,l,0.83,,CENTRAL LECHERA ASTURIANA,,carrefour,1618236009.4336436,R-521007087
Leche desnatada con calcio Pascual brik 1 l.,,1.2,None,,1.2,,,,carrefour,1618236016.19568,R-521007008
